,Gini
0,0.0
1,0.09499999999999997
2,0.18179999999999996
3,0.22619999999999996
4,0.26880000000000004
5,0.32720000000000005
6,0.395
7,0.39180000000000004
8,0.3808
9,0.4024
10,0.395
11,0.4404
12,0.4262
13,0.4194
14,0.4394
15,0.4578
16,0.46140000000000003
17,0.46140000000000003
18,0.48219999999999996
19,0.4982
20,0.505
21,0.5116
22,0.5084
23,0.521
24,0.5426
25,0.5388
26,0.5388
27,0.5536000000000001
28,0.5592
29,0.5634
30,0.5634
31,0.5236000000000001
32,0.5236000000000001
33,0.49440000000000006
34,0.49440000000000006
35,0.49839999999999995
36,0.516
37,0.48660000000000003
38,0.4958
39,0.5242
40,0.535
41,0.5686
42,0.5674
43,0.5674
44,0.5708
45,0.5922000000000001
46,0.5716
47,0.5624
48,0.5648
49,0.5444
50,0.55
51,0.5469999999999999
52,0.571
53,0.5820000000000001
54,0.589
55,0.6038
56,0.5831999999999999
57,0.6036
58,0.5820000000000001
59,0.5536000000000001
60,0.5367999999999999
61,0.5788
62,0.5864
63,0.5986
64,0.5768
65,0.5956
66,0.5900000000000001
67,0.5900000000000001
68,0.5912
69,0.608
70,0.5976
71,0.608
72,0.6146
73,0.636
74,0.6452
75,0.633
76,0.6232
77,0.6232
78,0.6162000000000001
79,0.6066
80,0.6066
81,0.6175999999999999
82,0.604
83,0.5960000000000001
84,0.5960000000000001
85,0.6066
86,0.627
87,0.622
88,0.6388
89,0.6388
90,0.6275999999999999
91,0.6192
92,0.61
93,0.6186
94,0.6235999999999999
95,0.5960000000000001
96,0.619
97,0.5998
98,0.5968
99,0.5968
